,Frame,time_sec,angle_1_deg,angle_2_deg,angle_3_deg,angle_4_deg,angle_5_deg,angle_6_deg,angular_velocity_1_deg_per_s,angular_velocity_2_deg_per_s,angular_velocity_3_deg_per_s,angular_velocity_4_deg_per_s,angular_velocity_5_deg_per_s,angular_velocity_6_deg_per_s,vertex_speed_angle_1_p13_coord_per_s,vertex_speed_angle_2_p14_coord_per_s,vertex_speed_angle_3_p13_coord_per_s,vertex_speed_angle_4_p14_coord_per_s,vertex_speed_angle_5_p23_coord_per_s,vertex_speed_angle_6_p24_coord_per_s,rom_1s_angle_1_deg,rom_1s_angle_2_deg,rom_1s_angle_3_deg,rom_1s_angle_4_deg,rom_1s_angle_5_deg,rom_1s_angle_6_deg,symmetry_absdiff_angle_1_vs_2_deg,symmetry_absdiff_angle_3_vs_4_deg,symmetry_absdiff_angle_5_vs_6_deg,LDF_bloodflow
201,201,6.7,122.819361,133.709066,26.667319,136.809537,121.747483,111.664735,-106.25717,-225.577327,-26.84297,23.631926,167.571798,-162.111346,0.60075,0.182483,0.60075,0.182483,0.067082,0.06,23.727213,26.635385,12.741687,5.999131,23.204078,23.236937,10.889705,110.142219,10.082748,126.4
204,204,6.8,123.3992,129.316679,28.636936,134.354427,130.269801,113.471987,55.22461,211.037258,-44.004806,64.260495,127.944445,-72.575982,0.990454,0.9,0.990454,0.9,0.271662,0.271662,23.727213,26.635385,8.52127,5.999131,23.204078,23.236937,5.917479,105.717491,16.797814,123.4
207,207,6.9,119.962029,129.520099,26.798113,134.008066,116.67024,110.821703,-295.674893,67.180401,78.235094,-57.733624,154.661629,340.137518,1.5012,2.04,1.5012,2.04,0.067082,0.067082,25.133425,26.635385,12.628378,5.999131,24.73527,23.236937,9.55807,107.209952,5.848536,130.7
210,210,7.0,126.99047,141.661079,25.520497,134.927899,114.879623,103.579972,140.087507,245.558669,-60.581657,24.110299,153.455921,-459.187524,0.212132,1.260357,0.212132,1.260357,0.361248,0.39,25.133425,26.635385,12.628378,5.999131,26.485697,23.236937,14.670609,109.407403,11.29965,179.2
213,213,7.1,128.053648,137.913904,26.282729,134.442762,124.434937,104.308918,-148.411463,299.266499,-23.318452,49.293292,-60.988546,-115.571615,0.24,0.72,0.24,0.72,0.094868,0.042426,25.133425,26.635385,12.033944,5.999131,26.485697,23.236937,9.860256,108.160033,20.126019,173.1
216,216,7.2,130.026415,127.795066,22.421431,132.805168,112.644894,106.392919,-13.011992,-280.763628,-152.032551,13.438548,111.629935,-110.474571,1.504792,0.840536,1.504792,0.840536,0.03,0.03,20.729864,26.635385,11.275085,5.999131,28.858672,23.236937,2.231349,110.383736,6.251974,160.8
219,219,7.3,132.673042,137.229309,25.138809,129.781028,107.478346,109.204711,-3.283911,37.848973,-53.217644,-3.053042,-120.811855,-2.072548,1.260714,0.331361,1.260714,0.331361,0.03,0.03,17.27971,26.635385,10.425156,7.028509,28.858672,23.236937,4.556267,104.642219,1.726365,154.5
222,222,7.4,125.981611,121.485718,21.973602,133.520384,102.035702,106.128274,-95.403913,-279.565081,108.210947,71.183007,391.254253,516.22532,0.430581,2.467306,0.430581,2.467306,0.152971,0.134164,17.27971,24.536428,13.330958,8.254429,46.089969,30.991209,4.495893,111.546782,4.092573,128.0
225,225,7.5,120.502945,127.841081,19.463968,134.143793,106.977248,94.36832,-121.787109,-14.559088,-52.466521,2.528983,-319.471792,-377.735772,0.450999,0.134164,0.450999,0.134164,0.0,0.0,17.27971,24.973649,12.555648,8.254429,41.275908,30.991209,7.338136,114.679825,12.608928,123.9
228,228,7.6,123.22761,126.584912,22.238911,132.967556,106.486042,92.603713,-80.043798,11.442232,32.322192,-29.348403,98.156564,81.628704,1.507481,0.63,1.507481,0.63,0.0,0.042426,17.27971,24.973649,11.737192,8.254429,41.275908,29.96546,3.357303,110.728645,13.882329,104.9
