Frame,angle_11_13_15_at_13,angle_12_14_16_at_14,angle_11_13_23_at_13,angle_12_14_24_at_14,angle_11_23_25_at_23,angle_12_24_26_at_24
271,123.4247,116.794026,14.460421,123.362423,98.305048,100.264878
272,109.889847,114.847784,20.246439,127.768657,95.588073,101.631233
273,101.728645,118.938029,20.35863,129.340778,100.704959,99.134275
274,100.122921,122.535944,16.188163,133.184303,101.523212,104.924362
275,100.102823,129.15501,17.594524,132.277834,95.692507,90.500289
276,109.53193,115.99279,12.372202,129.561707,90.888309,86.958092
277,113.581066,118.12745,11.994209,130.337255,90.465144,88.083972
278,94.819214,119.639446,13.877794,127.629298,90.224498,97.667741
279,102.661493,116.106488,13.138107,128.22585,96.394327,99.671098
280,105.48358,117.93881,9.853301,129.191105,91.41679,98.926685
281,116.109591,117.429306,11.274477,132.297681,91.958088,89.730227
282,104.289239,117.843848,12.877006,129.950872,89.545875,83.782371
283,115.293549,121.474362,10.35323,128.452279,87.838446,82.657699
284,108.345736,114.578564,10.833555,127.343615,81.045225,77.776526
285,109.988655,115.735678,8.766778,124.186378,80.681665,76.932565
286,111.24816,108.253125,11.047291,125.790095,85.026802,92.505636
287,114.490348,110.947133,12.705601,125.54731,84.963923,91.514309
288,117.108509,111.211265,9.766888,127.799729,84.250945,80.000489
289,117.95557,113.745206,11.788866,126.018979,82.577912,76.967333
290,110.200173,112.571431,16.945456,124.359825,92.085419,98.740932
291,128.658642,115.065533,11.984676,127.368239,90.492654,88.34114
292,123.926948,104.651776,12.71136,123.109736,79.156777,76.098251
293,121.628918,114.309218,11.462842,119.993163,81.928829,75.483582
294,122.525486,112.482633,9.47439,121.096957,83.699658,77.526149
295,120.506629,110.071457,10.509308,123.767376,86.621669,80.64164
296,122.862624,111.840897,11.820896,127.084109,94.832273,85.596867
297,122.546914,108.333709,13.644325,126.592977,94.352579,91.45413
298,121.487329,110.381162,14.051125,127.6995,93.235192,93.30196
299,136.194941,105.482496,12.905117,124.553381,90.445001,89.91226
300,136.496756,108.817367,12.007579,122.893582,91.256109,89.221067
301,139.523704,107.803057,9.380042,125.335453,91.745011,91.461055
302,124.717082,105.606038,12.648235,127.581533,94.067899,97.423459
303,126.956496,106.52953,8.26731,123.373179,87.700793,89.216407
304,128.118467,106.215215,8.890764,124.784472,87.692449,88.148376
305,121.817107,106.069664,14.986412,126.715787,95.709369,100.641128
306,134.130364,102.793753,12.932297,123.321493,92.549235,94.434379
307,131.373367,101.901412,13.202813,127.505847,88.33998,100.037863
308,131.033126,101.499868,13.845042,129.393527,94.795215,97.981257
309,127.396672,103.964991,13.969917,129.014462,95.563301,94.658733
310,129.25004,101.977147,12.480515,129.342313,95.184535,93.183661
311,145.963315,94.124698,5.26215,125.081751,72.430049,67.100306
312,122.381336,104.681543,16.474643,121.376092,92.303869,93.573016
313,123.866827,104.740302,15.634428,126.773422,92.019226,89.682524
314,119.564814,104.746536,17.562985,125.041272,94.399337,92.300447
315,119.883267,95.627464,15.577089,125.784521,90.484419,92.501076
316,122.145,104.223589,14.236341,126.730383,86.430318,78.366236
317,123.246794,105.941572,14.248799,125.954688,81.536105,79.737205
318,131.477118,98.982941,15.355295,127.83572,91.219745,86.592798
319,123.789128,102.848864,16.244247,127.694799,96.60208,93.526447
320,139.551722,96.808516,15.552855,125.633015,84.452447,90.708969
321,133.507175,99.704815,17.450096,124.62119,91.761053,99.067924
322,137.797225,100.87814,15.525562,124.965588,95.118281,100.291226
323,142.411854,100.066612,11.663499,128.356473,93.185569,92.332099
324,134.030036,100.147934,13.456562,127.905733,95.724456,90.48353
325,137.181762,98.249112,8.872711,130.861916,91.44067,88.614827
326,118.798021,111.592035,15.446824,127.510151,97.243878,99.658192
327,114.998985,117.055466,17.7933,125.403458,90.004649,100.968872
328,120.966024,121.456624,16.448823,122.627845,86.381471,106.701948
329,120.839916,117.741452,16.186471,120.769971,83.12243,90.293187
330,112.163466,112.151564,18.360935,120.11287,89.669114,94.237785
331,112.009361,108.562033,17.849763,121.398875,90.18477,97.202862
332,114.695922,110.329191,18.731276,121.94899,96.233266,98.328834
333,114.964395,104.363147,17.838179,123.620834,92.567283,98.551582
334,121.454923,100.24329,17.402664,124.251702,84.678062,98.949344
335,125.977008,108.625804,17.349011,122.559439,84.840056,90.854601
336,123.872328,108.536793,18.723556,123.286642,92.362674,98.959243
337,127.566321,105.844733,18.295155,126.795312,91.890932,98.104923
338,122.01222,104.642307,22.919191,119.063632,102.185737,116.169211
339,110.402258,107.528572,25.584779,107.784296,105.92612,117.930768
340,116.823717,105.090624,20.220897,122.573958,94.745937,106.471685
341,111.494627,106.663961,22.827424,119.001878,98.249785,113.180942
342,117.034529,104.777053,23.419988,120.369929,100.501407,115.358382
343,114.703789,105.651799,21.166311,123.844777,100.441829,111.396284
344,119.613809,106.84067,20.980343,122.388661,96.535511,109.335511
345,124.961806,102.528251,20.245415,124.124864,98.192992,106.948514
346,129.040594,105.338685,19.104412,125.24621,97.63643,103.927934
347,110.314311,109.479832,22.130805,121.733107,92.987555,116.601312
348,112.133609,117.965799,21.819053,118.782314,90.283016,106.085247
349,124.268848,115.393319,22.333837,118.840879,91.501624,93.2413
350,109.45096,108.866606,23.602678,114.884492,99.342441,108.033262
351,111.056873,104.198934,22.794072,114.576019,101.135462,104.667202
352,116.836025,108.730565,22.484524,119.398608,102.717071,98.300242
353,116.963934,112.096854,23.345117,118.172258,95.970544,99.403357
354,114.879924,110.553934,23.029828,117.686163,95.742851,97.641985
355,113.329501,109.788365,23.917473,111.156057,101.235637,112.463076
356,119.298735,103.552079,21.840787,120.007012,104.532749,115.876414
357,114.379553,106.07664,24.301957,116.745642,107.714999,117.360086
358,116.707731,104.804894,24.907702,117.028031,100.605428,114.76463
359,142.00263,96.484329,12.777034,127.756511,82.593875,91.064766
360,127.527761,102.40737,21.318915,125.887845,100.519715,106.860927
361,124.144882,108.038509,20.551889,126.058918,98.01118,99.820067
362,130.884093,110.270872,21.966387,121.067703,85.172275,112.316468
363,128.958438,105.193796,21.982539,122.041142,87.577777,113.00739
364,112.704613,109.617697,21.185368,122.777177,95.339257,111.495312
365,122.883866,108.370595,18.246806,120.298739,85.04824,84.742987
366,120.401394,104.114934,20.404816,129.76618,99.272238,88.923906
367,122.687455,106.473027,20.10283,128.451502,102.50052,92.600498
368,130.63981,105.671344,18.510367,128.956692,102.402462,95.523144
369,136.254274,107.068603,16.118667,129.614991,97.356067,90.77427
370,133.517645,99.991804,19.603001,125.699063,96.792105,98.412127
371,128.795993,100.180235,15.207702,131.634202,93.76981,104.510498
372,120.173524,100.306298,16.046475,130.629734,96.500776,104.684967
373,123.467051,111.19915,14.733444,129.732808,96.590722,98.620434
374,111.254292,112.246983,16.972039,127.860442,97.812207,101.344887
375,122.991703,110.46917,12.672607,126.075759,87.063338,105.025687
376,102.9762,121.624001,16.775117,126.981013,98.342283,99.394099
377,99.564274,119.938983,18.579588,120.413238,101.627139,104.045357
378,111.976529,117.294012,19.435261,125.422112,100.837327,116.756878
379,107.622304,114.500133,22.028647,122.684662,89.313805,101.873629
380,123.487195,121.462563,21.520515,124.351095,114.865614,112.797207
381,95.927794,129.446089,17.202266,119.981673,113.580389,113.714695
382,129.224301,129.214636,8.586052,127.325547,104.838548,105.732445
383,107.608026,124.479285,11.813305,122.255962,95.854124,115.614256
384,102.447521,141.279382,10.635622,135.619365,99.774547,109.67808
385,101.973082,119.330292,12.320737,136.438675,105.835633,109.7822
386,103.26926,127.950585,12.038497,134.544781,105.056006,110.441434
387,100.004312,140.280536,14.332939,131.025327,100.253269,115.470334
388,99.094611,119.512254,21.684846,129.030949,101.178824,112.422497
389,118.950798,130.168281,15.888066,137.121594,109.060736,109.802664
390,121.605325,125.660296,17.41539,136.175561,103.253364,110.153346
391,120.755741,119.16522,18.616527,136.432526,122.435671,110.888378
392,114.447929,129.709952,13.625443,138.682723,102.90183,108.128244
393,112.755475,115.00348,12.528291,138.044077,103.257354,108.113007
394,117.898835,119.259069,16.741054,138.89618,102.853865,105.119301
395,117.31023,143.330551,19.290214,140.177098,114.862544,101.115156
396,113.271461,146.539454,21.018514,138.258631,118.817666,102.4511
397,111.524064,141.29612,18.675199,136.962062,118.497092,104.225693
398,109.143066,141.059509,19.624864,137.488045,116.73445,102.6323
399,114.530372,146.890704,19.476328,136.505492,117.047783,104.241017
400,112.943966,152.794375,20.624118,128.333027,117.662677,104.421932
401,114.537455,143.628049,22.009721,130.58989,123.845891,106.967088
402,112.021266,131.586809,24.750641,126.410384,126.883123,116.784887
403,111.889369,133.802335,32.13971,127.421655,127.066031,119.302319
404,115.365598,154.969541,24.505114,136.632725,123.173459,110.209032
405,116.712467,153.782184,22.865488,136.16064,124.439057,105.155886
406,116.202725,145.692075,26.466588,134.243385,130.902211,108.518408
407,118.811063,150.056361,26.836845,137.338889,131.893572,107.531114
408,119.146372,146.866005,26.81765,136.605306,131.325492,114.898611
409,122.390811,150.500266,27.038674,139.509644,132.835509,114.09099
410,123.109429,154.73874,27.897359,141.82138,132.755099,113.145238
411,128.574306,150.990877,28.633394,141.931237,134.527146,112.21297
412,126.065421,149.520186,30.07183,141.678449,133.385024,113.152039
413,130.167519,146.173278,29.539619,141.972973,134.286121,110.231496
414,135.403367,147.211639,32.432121,141.897986,136.357687,111.298064
415,139.406585,146.981339,37.104962,144.318027,142.399365,111.97932
416,152.107103,144.899354,37.28528,142.603805,144.970499,114.658454
417,152.175953,142.102838,36.68628,142.792907,143.06009,115.837302
418,154.47708,145.330516,36.996134,141.281566,142.407989,114.816274
419,146.536028,144.493028,35.848459,141.335931,141.774628,114.019027
420,141.200712,145.195098,38.336666,141.647149,141.03486,112.681121
421,144.123556,140.743848,39.359022,139.912863,146.558523,118.267374
422,141.246969,142.786775,41.587465,139.618647,147.511321,121.058174
423,141.49601,142.726291,41.473617,140.430996,146.004258,116.171174
